Response ID,How likely is that you will work for one employer for 3 years or more ?,Which of the below Employers would you work with.,What type of Manager would you work without looking into your watch ?,Which of the following setup you would like to work ?,How likely is that you will work for one employer for 7 years or more ?
1716,"This will be hard to do, but if it is the right company I would try","Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team,No way
1717,Will work for 3 years or more,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team,No way
1718,Will work for 3 years or more,Employer who appreciates learning and enables that environment,Manager who sets goal and helps me achieve it,Work with more than 10 people in my team,No way
1719,"This will be hard to do, but if it is the right company I would try","Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team,"This will be hard to do, but if it is the right company I would try"
1720,Will work for 3 years or more,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end",Manager who clearly describes what she/he needs,Work with 7 to 10 or more people in my team,Will work for 7 years or more
1721,Will work for 3 years or more,Employer who appreciates learning and enables that environment,Manager who sets goal and helps me achieve it,Work with more than 10 people in my team,"This will be hard to do, but if it is the right company I would try"
1722,Will work for 3 years or more,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end","Manager who explains what is expected, sets a goal and helps achieve it",Work with 7 to 10 or more people in my team,"This will be hard to do, but if it is the right company I would try"
1723,"This will be hard to do, but if it is the right company I would try",Employer who rewards learning and enables that environment,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 5 to 6 people in my team,"This will be hard to do, but if it is the right company I would try"
1724,Will work for 3 years or more,"Employer who pushes your limits by enabling an learning environment, and rewards you at the end",Manager who sets goal and helps me achieve it,Work with more than 10 people in my team,Will work for 7 years or more
1725,No way,Employer who appreciates learning and enables that environment,"Manager who explains what is expected, sets a goal and helps achieve it",Work with 2 to 3 people in my team,"This will be hard to do, but if it is the right company I would try"
